rank,korean_spelling,english_spelling_romanization,frequency_band,syllables,token_note,source_url
79,님,nim,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
80,알,al,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
81,았,at,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
82,잘,jal,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
83,합니다,hapnida,1-1000,3,Frequency token/form,https://github.com/rspeer/wordfreq
84,등,deung,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
85,까지,kkaji,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
86,받,bat,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
87,오,o,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
88,중,jung,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
89,서,seo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
90,못,mot,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
91,생각,saenggak,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
92,번,beon,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
93,세요,seyo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
94,싶,sip,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
95,다고,dago,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
96,개,gae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
97,대,dae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
98,두,du,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
99,였,yeot,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
100,시간,sigan,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
101,면서,myeonseo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
102,부터,buteo,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
103,성,seong,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
104,분,bun,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
105,라는,raneun,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
106,명,myeong,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
107,많,man,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
108,원,won,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
109,살,sal,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
110,다른,dareun,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
111,지금,jigeum,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
112,때문,ttaemun,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
113,어서,eoseo,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
114,왜,wae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
115,다는,daneun,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
116,여자,yeoja,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
117,으면,eumyeon,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
118,뭐,mwo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
119,위,wi,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
120,화,hwa,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
121,좀,jom,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
122,해서,haeseo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
123,건,geon,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
124,죠,jyo,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
125,하나,hana,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
126,한국,hanguk,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
127,후,hu,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
128,같이,gati,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
129,날,nal,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
130,시작,sijak,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
131,신,sin,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
132,먹,meok,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
133,사랑,sarang,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
134,그리고,geurigo,1-1000,3,Frequency token/form,https://github.com/rspeer/wordfreq
135,니까,nikka,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
136,만들,mandeul,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
137,맞,mat,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
138,게임,geim,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
139,군,gun,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
140,및,mit,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
141,사용,sayong,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
142,차,cha,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
143,너,neo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
144,될,doel,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
145,위해,wihae,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
146,줄,jul,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
147,집,jip,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
148,함께,hamkke,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
149,해야,haeya,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
150,가지,gaji,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
151,남자,namja,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
152,또,tto,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
153,보다,boda,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
154,너무,neomu,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
155,대한,daehan,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
156,랑,rang,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
157,사,sa,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
158,오늘,oneul,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
159,이런,ireon,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
160,이상,isang,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
161,함,ham,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
162,걸,geol,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
163,길,gil,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
164,다시,dasi,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
165,데,de,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
166,모든,modeun,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
167,찾,chat,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
168,그렇,geureo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
169,애,ae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
170,필요,piryo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
171,된다,doenda,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
172,문제,munje,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
173,서울,seoul,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
174,해요,haeyo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
175,곳,got,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
176,네요,neyo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
177,씨,ssi,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
178,정말,jeongmal,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
179,죽,juk,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
180,세,se,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
181,아이,ai,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
182,자신,jasin,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
183,형,hyeong,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
184,난,nan,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
185,됐,dwaet,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
186,달,dal,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
187,세계,segye,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
188,으며,eumyeo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
189,이름,ireum,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
190,친구,chingu,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
191,가장,gajang,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
192,권,gwon,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
193,끝,kkeut,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
194,남,nam,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
195,다음,daeum,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
196,비,bi,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
197,속,sok,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
198,지역,jiyeok,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
199,처럼,cheoreom,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
200,모두,modu,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
201,사실,sasil,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
202,아요,ayo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
203,많이,mani,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
204,바로,baro,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
205,음,eum,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
206,한테,hante,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
207,모르,moreu,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
208,볼,bol,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
209,잡,jap,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
210,학교,hakgyo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
211,가능,ganeung,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
212,그런,geureon,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
213,앞,ap,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
214,간,gan,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
215,그냥,geunyang,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
216,미국,miguk,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
217,상,sang,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
218,엔,en,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
219,이제,ije,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
220,물,mul,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
221,진짜,jinjja,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
222,호,ho,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
223,회,hoe,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
224,경우,gyeongu,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
225,동안,dongan,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
226,으,eu,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
227,이렇,ireo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
228,일본,ilbon,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
229,첫,cheot,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
230,그러,geureo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
231,는지,neunji,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
232,마음,maeum,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
233,본,bon,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
234,손,son,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
235,쓰,sseu,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
236,예,ye,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
237,정도,jeongdo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
238,조,jo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
239,타,ta,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
240,당,dang,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
241,장,jang,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
242,진,jin,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
243,치,chi,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
244,냐,nya,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
245,대표,daepyo,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
246,도록,dorok,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
247,보이,boi,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
248,영화,yeonghwa,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
249,자기,jagi,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
250,대해,daehae,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
251,뒤,dwi,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
252,라도,rado,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
253,마,ma,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
254,뿐,ppun,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
255,사이트,saiteu,1-1000,3,Frequency token/form,https://github.com/rspeer/wordfreq
256,세상,sesang,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
257,크,keu,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
258,큰,keun,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
259,놓,no,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
260,봤,bwat,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
261,부,bu,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
